createdAt,side,liquidity,type,market,price,size,fee
"2023-07-26T18:47:38.566Z","SELL","TAKER","MARKET","SOL-USD","25.441","112.7","1.089536"
"2023-07-26T18:47:38.566Z","SELL","TAKER","MARKET","SOL-USD","25.443","31.3","0.302619"
"2023-07-26T18:47:38.566Z","SELL","TAKER","MARKET","SOL-USD","25.443","77.7","0.75123"
"2023-07-26T18:47:38.566Z","SELL","TAKER","MARKET","SOL-USD","25.443","405.4","3.919545"
"2023-07-26T18:47:38.566Z","SELL","TAKER","MARKET","SOL-USD","25.443","117.6","1.136996"
"2023-07-26T18:47:38.566Z","SELL","TAKER","MARKET","SOL-USD","25.443","70","0.676783"
"2023-07-26T18:47:38.566Z","SELL","TAKER","MARKET","SOL-USD","25.444","114.7","1.109002"
"2023-07-26T18:47:38.566Z","SELL","TAKER","MARKET","SOL-USD","25.444","40","0.386748"
"2023-07-26T18:47:38.566Z","SELL","TAKER","MARKET","SOL-USD","25.445","445","4.302749"
"2023-07-26T18:47:38.566Z","SELL","TAKER","MARKET","SOL-USD","25.456","40.4","0.3908"
"2023-07-26T18:47:38.566Z","SELL","TAKER","MARKET","SOL-USD","25.456","70","0.677129"
"2023-07-26T18:47:38.566Z","SELL","TAKER","MARKET","SOL-USD","25.462","392","3.792819"
"2023-07-26T18:27:29.755Z","SELL","TAKER","MARKET","SOL-USD","24.94","1091.5","10.344363"
"2023-07-26T18:27:29.755Z","SELL","TAKER","MARKET","SOL-USD","24.941","373.4","3.538928"
"2023-07-26T18:27:29.755Z","SELL","TAKER","MARKET","SOL-USD","24.941","445","4.217523"
"2023-07-26T18:27:29.755Z","SELL","TAKER","MARKET","SOL-USD","24.941","70","0.66343"
"2023-07-26T18:27:29.755Z","SELL","TAKER","MARKET","SOL-USD","24.942","20.1","0.190506"
"2023-07-24T21:55:55.733Z","BUY","TAKER","MARKET","MATIC-USD","0.7283","7618","2.108311"
"2023-07-24T21:55:55.733Z","BUY","TAKER","MARKET","MATIC-USD","0.7283","752","0.208119"
"2023-07-24T21:55:55.733Z","BUY","TAKER","MARKET","MATIC-USD","0.7283","20000","5.53508"
"2023-07-24T21:55:55.733Z","BUY","TAKER","MARKET","MATIC-USD","0.7283","20590","5.698364"
"2023-07-24T21:55:55.733Z","BUY","TAKER","MARKET","MATIC-USD","0.7282","6860","1.898271"
"2023-07-24T21:55:55.733Z","BUY","TAKER","MARKET","MATIC-USD","0.7282","17750","4.911709"
"2023-07-24T21:55:55.733Z","BUY","TAKER","MARKET","MATIC-USD","0.7282","2130","0.589405"
"2023-07-24T21:55:55.733Z","BUY","TAKER","MARKET","MATIC-USD","0.7282","1776","0.491447"
"2023-07-24T21:55:55.733Z","BUY","TAKER","MARKET","MATIC-USD","0.7281","20000","5.53356"
"2023-07-24T21:55:55.733Z","BUY","TAKER","MARKET","MATIC-USD","0.7281","6860","1.898011"
"2023-07-24T21:55:55.733Z","BUY","TAKER","MARKET","MATIC-USD","0.7281","7805","2.159471"
"2023-07-24T21:55:55.733Z","BUY","TAKER","MARKET","MATIC-USD","0.728","2750","0.76076"
"2023-07-24T21:55:55.733Z","BUY","TAKER","MARKET","MATIC-USD","0.7279","6860","1.897489"
"2023-07-24T21:55:55.733Z","BUY","TAKER","MARKET","MATIC-USD","0.7279","6610","1.828339"
"2023-07-24T21:55:55.733Z","BUY","TAKER","MARKET","MATIC-USD","0.7279","17750","4.909685"
"2023-07-24T21:55:55.733Z","BUY","TAKER","MARKET","MATIC-USD","0.7279","1520","0.420435"
"2023-07-24T21:55:55.733Z","BUY","TAKER","MARKET","MATIC-USD","0.7279","1043","0.288495"
"2023-07-24T21:55:55.733Z","BUY","TAKER","MARKET","MATIC-USD","0.7278","8971","2.481055"
"2023-07-24T21:55:55.733Z","BUY","TAKER","MARKET","MATIC-USD","0.7278","1436","0.397145"
"2023-07-24T21:55:55.733Z","BUY","TAKER","MARKET","MATIC-USD","0.7278","6870","1.899994"
"2023-07-24T21:55:55.733Z","BUY","TAKER","MARKET","MATIC-USD","0.7277","9958","2.753645"
"2023-07-24T21:55:55.733Z","BUY","TAKER","MARKET","MATIC-USD","0.7277","1370","0.37884"
"2023-07-24T21:55:55.733Z","BUY","TAKER","MARKET","MATIC-USD","0.7277","17750","4.908336"
"2023-07-24T21:55:55.733Z","BUY","TAKER","MARKET","MATIC-USD","0.7277","277","0.076597"
"2023-07-24T21:55:55.733Z","BUY","TAKER","MARKET","MATIC-USD","0.7276","4694","1.297834"
"2023-07-24T19:10:06.914Z","BUY","TAKER","MARKET","AVAX-USD","13.1","1184.3","5.895445"
"2023-07-24T19:10:06.914Z","BUY","TAKER","MARKET","AVAX-USD","13.1","2371","11.802838"
"2023-07-24T19:10:06.914Z","BUY","TAKER","MARKET","AVAX-USD","13.1","84","0.418152"
"2023-07-24T19:10:06.914Z","BUY","TAKER","MARKET","AVAX-USD","13.1","764.2","3.804187"
"2023-07-24T19:10:06.914Z","BUY","TAKER","MARKET","AVAX-USD","13.1","2294","11.419532"
"2023-07-24T19:10:06.914Z","BUY","TAKER","MARKET","AVAX-USD","13.1","196.8","0.97967"
"2023-07-24T19:10:06.914Z","BUY","TAKER","MARKET","AVAX-USD","13.1","113.1","0.563011"
"2023-07-24T19:10:06.914Z","BUY","TAKER","MARKET","AVAX-USD","13.1","67","0.333526"
